IDADE,SEXO,ESCOLARIDADE,P1_1,P1_2,P1_3,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P2_7,P2_8,P3A,P3B,P3C,P3D,P3E,P3F,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P6A,P6B,P6C,P6D,P6E,RACA_COR,RELIGIÃO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA,id_respondente
36.0,FEM,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,Espaços públicos,,,,,,,,Não,Não,Não,Sim,Sim,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda totalmente,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186578959.0,2023-07-01,Face a face,0
51.0,FEM,Superior completo,Escolas/faculdades e universidades,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",,Trabalho,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Concorda em parte,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186579662.0,2023-07-01,Face a face,1
67.0,MAS,5ª série (ou 6º ano),Não sabe/ Não respondeu,,,Espaços públicos,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Discorda em parte,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda em parte,Parda,"Afro-Brasileiras (Umbanda, Candomblé, etc)",MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580025.0,2023-07-01,Face a face,2
18.0,MAS,Analfabeto,Hospitais e postos de saúde,,,Espaços públicos,Trabalho,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580409.0,2023-07-01,Face a face,3
83.0,FEM,1ª série (ou 2º ano),"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,"Rua e espaços públicos de convivência como parques, praças, etc.",Trabalho,Escola/Faculdade,Shoppings e comércios,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Discorda em parte,Concorda totalmente,Concorda em parte,Concorda em parte,Discorda totalmente,Preta,Espírita/ Kardecista,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,186580426.0,2023-07-01,Face a face,4
30.0,MAS,3ª série,Não sabe/ Não respondeu,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Concorda em parte,Concorda totalmente,Concorda totalmente,"Não concorda, nem discorda",Discorda em parte,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 5 A 10,SUL,PERIFERIA,DE 100.001 A 500.000,186580780.0,2023-07-01,Face a face,5
20.0,MAS,4ª série (ou 5º ano),"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,"Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,,,,,,,,,,,,,,"Passear com cachorros, animais de estimação",,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Discorda em parte,Concorda totalmente,Discorda em parte,"Não concorda, nem discorda",Concorda em parte,Preta,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580854.0,2023-07-01,Face a face,6
69.0,FEM,Analfabeto,Não sabe/ Não respondeu,,,Não respondeu,,,,,,,,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,186581005.0,2023-07-01,Face a face,7
54.0,FEM,8ª série (ou 9º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda em parte,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUL,INTERIOR,ATÉ 5.000,186581017.0,2023-07-01,Face a face,8
59.0,FEM,4ª série (ou 5º ano),"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",,No ambiente familiar,Transporte público,,,,,,,Não,Não,Não,Não,Não,Não,Revender cosméticos ou produtos de beleza,Vender roupas e outros artigos usados,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais favelas/barracos/áreas ocupadas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Concorda em parte,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186581379.0,2023-07-01,Face a face,9
