id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc_target
1184,FEM,1ª série,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 5.001 A 10.000,Revender cosméticos ou produtos de beleza,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,21.0,0.06756756756756754,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1840,FEM,3ª série,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,64.0,0.6486486486486487,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1858,MAS,4ª série (ou 5º ano),Preta,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 2 A 5,MAIS DE 2 A 5,NORTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
66,FEM,3ª série,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Discorda em parte,Discorda totalmente,Discorda em parte,44.0,0.3783783783783784,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
787,MAS,3ª série,Parda,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 10 A 20,SUDESTE,INTERIOR,DE 10.001 A 20.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,50.0,0.45945945945945943,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
765,FEM,Superior incompleto,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 50.001 A 100.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,28.0,0.16216216216216217,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
165,MAS,3ª série,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda totalmente,45.0,0.3918918918918919,Não sabe/ Não respondeu
1343,FEM,5ª série (ou 6º ano),Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda totalmente,51.0,0.472972972972973,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
91,MAS,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda em parte,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,52.0,0.4864864864864865,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1593,FEM,3ª série,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Discorda em parte,Discorda em parte,Concorda totalmente,28.0,0.16216216216216217,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
