id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc
0,FEM,3ª série,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda totalmente,36.0,0.2702702702702703,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1,FEM,Superior completo,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,51.0,0.472972972972973,Tenho visto mais pessoas trabalhando nos semáforos/ruas
2,MAS,5ª série (ou 6º ano),Parda,"Afro-Brasileiras (Umbanda, Candomblé, etc)",MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda em parte,67.0,0.6891891891891893,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
3,MAS,Analfabeto,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda totalmente,18.0,0.02702702702702703,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
4,FEM,1ª série (ou 2º ano),Preta,Espírita/ Kardecista,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Concorda em parte,Concorda em parte,Discorda totalmente,83.0,0.9054054054054055,Não sabe/ Não respondeu
5,MAS,3ª série,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 5 A 10,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda totalmente,"Não concorda, nem discorda",Discorda em parte,30.0,0.1891891891891892,Tenho visto mais pessoas trabalhando nos semáforos/ruas
6,MAS,4ª série (ou 5º ano),Preta,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,"Passear com cachorros, animais de estimação",Discorda em parte,Concorda totalmente,Discorda em parte,"Não concorda, nem discorda",Concorda em parte,20.0,0.05405405405405406,Tenho visto mais pessoas trabalhando nos semáforos/ruas
7,FEM,Analfabeto,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,69.0,0.7162162162162162,Não sabe/ Não respondeu
8,FEM,8ª série (ou 9º ano),Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUL,INTERIOR,ATÉ 5.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda totalmente,54.0,0.5135135135135136,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
9,FEM,4ª série (ou 5º ano),Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Revender cosméticos ou produtos de beleza,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Concorda em parte,59.0,0.5810810810810811,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
