id_respondente;sexo_desc;escolaridade_desc;raca_desc;religiao_desc;rend1_desc;regiao_desc;cond_desc;idade_num;Resposta real;Resposta LLM
1184;FEM;1ª série;Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;21.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1840;FEM;3ª série;Branca;Batista/ Metodista/ Presbiteriana;MAIS DE 2 A 5;SUDESTE;INTERIOR;64.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1858;MAS;4ª série (ou 5º ano);Preta;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 2 A 5;NORTE;PERIFERIA;34.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto mais pessoas trabalhando nos semáforos/ruas
66;FEM;3ª série;Branca;Outras Evangélicas específicas;MAIS DE 1 A 2;SUDESTE;INTERIOR;44.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
787;MAS;3ª série;Parda;Católica Apostólica Romana;MAIS DE 5 A 10;SUDESTE;INTERIOR;50.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
765;FEM;Superior incompleto;Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;28.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
165;MAS;3ª série;Parda;Católica Apostólica Romana;ATÉ 1;CENTRO OESTE;INTERIOR;45.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1343;FEM;5ª série (ou 6º ano);Branca;Católica Apostólica Romana;ATÉ 1;SUDESTE;CAPITAL;51.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
91;MAS;3ª série;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;SUDESTE;CAPITAL;52.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1593;FEM;3ª série;Branca;Católica Apostólica Romana;ATÉ 1;NORTE;INTERIOR;28.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
354;MAS;2ª série;Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;CAPITAL;34.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
458;FEM;2ª série;Branca;Assembléia de Deus;NÃO RESPONDEU;SUL;INTERIOR;34.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1677;MAS;3ª série;Branca;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;CAPITAL;33.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1222;MAS;4ª série (ou 5º ano);Parda;Católica Apostólica Romana;ATÉ 1;SUL;PERIFERIA;54.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto mais favelas/barracos/áreas ocupadas
6;MAS;4ª série (ou 5º ano);Preta;Ateu, não tem religião;ATÉ 1;CENTRO OESTE;INTERIOR;20.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1052;MAS;8ª série (ou 9º ano);Parda;Ateu, não tem religião;ATÉ 1;NORTE;INTERIOR;24.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1487;MAS;Superior completo;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;SUDESTE;CAPITAL;28.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
815;FEM;Superior completo;Branca;Batista/ Metodista/ Presbiteriana;MAIS DE 1 A 2;SUDESTE;PERIFERIA;39.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1968;FEM;2ª série;Parda;Outras religiões;MAIS DE 1 A 2;SUL;PERIFERIA;39.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto mais favelas/barracos/áreas ocupadas
440;FEM;3ª série;Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;INTERIOR;50.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1647;MAS;Superior completo;Parda;Católica Apostólica Romana;ATÉ 1;NORTE;CAPITAL;45.0;Não sabe/ Não respondeu;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
166;MAS;Superior completo;Branca;Católica Apostólica Romana;MAIS DE 5 A 10;CENTRO OESTE;INTERIOR;45.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1637;MAS;Analfabeto;Branca;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;43.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1956;MAS;3ª série;Branca;Adventista;MAIS DE 2 A 5;NORDESTE;CAPITAL;33.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
140;FEM;8ª série (ou 9º ano);Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;SUDESTE;INTERIOR;25.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
457;MAS;2ª série;Parda;Católica Apostólica Romana;MAIS DE 1 A 2;NORDESTE;CAPITAL;59.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1664;FEM;3ª série;Branca;Assembléia de Deus;ATÉ 1;NORDESTE;CAPITAL;32.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
512;FEM;7ª série (ou 8º ano);Preta;Igreja Internacional da Graça;ATÉ 1;SUL;INTERIOR;59.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
978;FEM;7ª série (ou 8º ano);Parda;É religioso mas não segue nenhuma/ Agnóstico;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;CAPITAL;31.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
88;MAS;8ª série (ou 9º ano);Parda;Católica Apostólica Romana;ATÉ 1;SUDESTE;PERIFERIA;56.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
496;FEM;Superior completo;Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;CENTRO OESTE;INTERIOR;44.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1781;MAS;7ª série (ou 8º ano);Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;INTERIOR;34.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1224;MAS;4ª série (ou 5º ano);Parda;É religioso mas não segue nenhuma/ Agnóstico;ATÉ 1;CENTRO OESTE;INTERIOR;54.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1448;FEM;3ª série;Parda;Ateu, não tem religião;ATÉ 1;SUDESTE;CAPITAL;42.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
820;MAS;Superior completo;Parda;Outras Evangélicas específicas;MAIS DE 2 A 5;SUDESTE;PERIFERIA;24.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
999;MAS;8ª série (ou 9º ano);Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;CAPITAL;30.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
987;FEM;4ª série (ou 5º ano);Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;INTERIOR;26.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1465;MAS;3ª série;Branca;Ateu, não tem religião;ATÉ 1;SUDESTE;CAPITAL;47.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1125;MAS;8ª série (ou 9º ano);Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUL;PERIFERIA;60.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1793;FEM;3ª série;Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;INTERIOR;19.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1608;MAS;3ª série;Amarela;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;INTERIOR;49.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
875;MAS;4ª série (ou 5º ano);Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;SUL;PERIFERIA;20.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
377;FEM;2ª série;Parda;Outras Evangélicas específicas;MAIS DE 1 A 2;SUDESTE;CAPITAL;41.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1096;FEM;3ª série;Parda;Outras Evangélicas específicas;MAIS DE 2 A 5;SUDESTE;CAPITAL;45.0;Não sabe/ Não respondeu;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1210;MAS;3ª série;Branca;Batista/ Metodista/ Presbiteriana;MAIS DE 1 A 2;SUDESTE;CAPITAL;45.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1940;FEM;3ª série;Preta;Universal do Reino de Deus;ATÉ 1;NORDESTE;CAPITAL;48.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1373;FEM;Superior incompleto;Parda;Católica Apostólica Romana;MAIS DE 1 A 2;NORTE;CAPITAL;42.0;Tenho visto mais favelas/barracos/áreas ocupadas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
